City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
268,Tazmalt,DZ,2020-04-04 19:00:59,36.39,4.4,54.73,58,4,4.94
269,Maldonado,UY,2020-04-04 18:52:37,-34.67,-54.92,73.4,64,20,4.7
270,Meulaboh,ID,2020-04-04 19:01:00,4.14,96.13,78.17,89,100,11.83
271,Corn Island,NI,2020-04-04 19:01:00,12.17,-83.04,80.92,65,22,7.38
272,Puerto Ayora,EC,2020-04-04 19:01:00,-0.74,-90.35,84.2,70,20,11.41
273,Padang,ID,2020-04-04 18:58:33,-0.95,100.35,78.58,81,100,4.0
274,Olinda,BR,2020-04-04 18:51:38,-8.01,-34.86,86.0,74,75,9.17
275,Pareora,NZ,2020-04-04 19:01:00,-44.49,171.21,55.0,97,93,10.22
276,Sidi Ali,DZ,2020-04-04 19:01:00,36.1,0.42,62.28,55,83,14.09
277,Erzin,TR,2020-04-04 18:52:43,36.96,36.2,64.0,67,40,5.82
278,Acapulco,MX,2020-04-04 18:47:33,16.86,-99.89,84.2,66,5,8.05
279,Spas-Demensk,RU,2020-04-04 19:01:01,54.41,34.02,35.1,75,35,4.5
280,Taltal,CL,2020-04-04 19:01:01,-25.4,-70.48,70.34,62,21,6.38
281,Buala,SB,2020-04-04 18:51:39,-8.14,159.59,81.07,77,88,15.37
282,Sabha,LY,2020-04-04 19:01:01,27.04,14.43,73.02,17,0,8.52
283,Batagay-Alyta,RU,2020-04-04 18:51:39,67.8,130.41,8.71,85,99,1.19
284,Coronado,US,2020-04-04 18:57:05,32.69,-117.18,64.99,59,75,9.17
285,Lebu,CL,2020-04-04 19:01:01,-37.62,-73.65,60.22,51,1,20.36
286,Daru,PG,2020-04-04 18:56:48,-9.08,143.21,78.6,82,0,5.68
287,Waw,SS,2020-04-04 19:01:01,7.7,28.0,84.13,44,46,5.01
288,Khatanga,RU,2020-04-04 19:01:02,71.97,102.5,10.96,96,74,11.12
289,Cherskiy,RU,2020-04-04 19:01:02,68.75,161.3,-12.01,90,100,4.72
290,Chlorakas,CY,2020-04-04 19:01:02,34.8,32.41,68.0,28,95,11.41
291,Chone,EC,2020-04-04 19:01:02,-0.68,-80.1,87.76,60,63,2.48
292,Thompson,CA,2020-04-04 18:56:50,55.74,-97.86,19.4,79,90,11.41
293,Abong Mbang,CM,2020-04-04 19:01:02,3.98,13.18,73.4,71,94,2.19
294,Fier,AL,2020-04-04 19:01:02,40.72,19.56,56.48,61,91,11.05
295,Dali,CN,2020-04-04 19:01:02,25.7,100.18,47.73,47,6,3.02
296,Port-Gentil,GA,2020-04-04 18:51:13,-0.72,8.78,76.08,85,100,7.49
297,Waltershausen,DE,2020-04-04 19:01:03,50.9,10.57,48.0,56,7,4.7
298,Khudumelapye,BW,2020-04-04 19:01:03,-23.88,24.75,68.2,33,76,4.68
299,Mitha Tiwana,PK,2020-04-04 19:01:03,32.25,72.11,74.21,37,86,9.15
300,Mayo,US,2020-04-04 18:47:49,38.89,-76.51,59.0,62,90,5.82
301,Taoudenni,ML,2020-04-04 18:56:23,22.68,-3.98,95.05,9,0,8.43
302,Luderitz,NA,2020-04-04 19:01:03,-26.65,15.16,60.8,82,23,8.05
